FIELD_TYPE_ID,element_type_id,FIELD_NAME,Status,inactive_reason,C2C_Cdate,C2C_Cuser,C2C_Udate,C2C_Uuser
31,52,PrimaryButton,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
32,52,SecondaryButton,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
33,52,IconButton,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
34,52,FloatingActionButton,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
35,52,ModalPopup,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
36,52,AlertDialog,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
38,52,ConfirmationPopup,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
39,52,CardContainer,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
40,52,GridContainer,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
41,52,FlexContainer,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
42,52,SectionWrapper,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
43,52,TextInput,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
44,52,PasswordInput,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
45,52,EmailInput,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
46,52,SearchInput,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
47,52,DropdownSelect,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
48,52,RadioGroup,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
49,52,CheckboxGroup,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
50,52,ToggleSwitch,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
51,52,Navbar,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
52,52,Sidebar,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
53,52,Footer,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
54,52,Breadcrumbs,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
55,52,DataTable,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
56,52,PaginatedTable,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
57,52,LoadingSpinner,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
58,52,ProgressBar,1,NULL,"2025-11-17 15:24:01",system,NULL,NULL
67,53,Controller,1,NULL,"2025-11-17 15:26:13",system,NULL,NULL
68,53,Service,1,NULL,"2025-11-17 15:26:13",system,NULL,NULL
69,53,Repository,1,NULL,"2025-11-17 15:26:13",system,NULL,NULL
70,53,Route,1,NULL,"2025-11-17 15:26:13",system,NULL,NULL
71,52,ListBox,1,NULL,"2025-11-18 15:47:15",admin,NULL,NULL
